Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Humidity,Soil,NPK_Sum,PH_Stress,Rain_Temp_Balance,Crop,Fertilizer,Remark
21.63331836,0.721958095,306.0816006,7.173131182,71.58331644,163.0576361,148.1283475,1.234242458,80.9330321519397,Loamy Soil,382.76930003999996,0.17313118199999966,14.148619990077195,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
23.06096362,0.685750945,259.3364141,7.380793274,75.70982965,62.09150832,80.30897055,1.795649621,85.83607220225149,Peaty Soil,218.11030852000002,0.3807932740000002,11.245688531206314,rice,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
26.24197519,0.755094665,212.7035133,6.883367121,78.03368731,151.0125215,153.0057123,1.517556229,83.21078177063332,Loamy Soil,382.05192110999997,0.0,8.10546888181857,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
21.49015683,0.730672351,268.7867669,7.57876039,71.76512327,66.25737093,97.0008865,1.782985063,84.87362571538763,Peaty Soil,235.02338069999996,0.5787603900000002,12.507436266113093,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
22.38683424,0.227436131,292.7451075,5.902665777,78.81498873,60.4717261,66.06084337,1.518379478,94.50511815093716,Peaty Soil,205.34755819999998,0.5973342229999998,13.076663916014239,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
21.34222738,0.785753144,249.9801852,5.692239729,72.08912147,42.59125548,68.03560892,2.410625385,94.07361444685397,Peaty Soil,182.71598587,0.8077602710000003,11.712937958587151,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
21.29692503,0.783450169,211.0493816,6.386645953,72.71148429,68.3520566,94.69540074,2.464714077,93.66261119787126,Peaty Soil,235.75894163,0.11335404699999962,9.909852305095896,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
29.0051548,0.777526701,290.8096202,5.1848698,85.4487904,47.08050139,67.2013236,2.250705838,84.70233589854797,Peaty Soil,199.73061539,1.3151301999999996,10.026135775010586,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.04663109,0.875021127,242.0806745,7.596491545,75.6268496,86.88584798,122.0067322,1.824172231,83.14397345923959,Peaty Soil,284.51942978,0.5964915450000001,9.665199029367745,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
24.5582779,0.864588012,270.2015744,5.077891029,83.57937587,47.99968362,57.03189831,0.76744133,94.2588085535352,Acidic Soil,188.61095780000002,1.422108971,11.002464240377376,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.9626368,0.670031104,193.669998,7.064826235,69.75597761,149.3148008,140.3273591,2.2665391,85.50424728998144,Loamy Soil,359.39813750999997,0.06482623499999995,7.459565817290176,rice,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
27.16251172,0.823494476,226.8723088,6.92096417,74.74445541,151.3626724,147.1449459,1.231255995,86.08340060724368,Loamy Soil,373.25207371,0.0,8.352405371737103,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
20.52768858,0.871569396,279.5987281,6.101485339,77.40561181,66.10490541,98.20578845,1.529301252,82.73786372154335,Peaty Soil,241.71630567,0.3985146610000001,13.620565560041248,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
25.4487713,0.76034054,212.875327,6.912928818,70.74932521,153.6726499,144.1104891,3.241983684,81.71547971021118,Loamy Soil,368.53246421,0.0,8.364856774047869,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
21.86581637,0.869469091,187.9238787,6.109552782,69.98740112,52.72956453,62.92391825,1.182528897,88.01084508575246,Peaty Soil,185.6408839,0.39044721800000026,8.594414016841027,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
21.50747982,0.864383872,184.8705814,6.760454667,68.44308175,68.25740509,80.68965587,0.890320494,78.16777218349038,Acidic Soil,217.39014271,0.0,8.59564128141537,rice,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
25.59651713,0.827566787,218.0459626,5.210040763,79.70447691,50.82686688,54.6032025,2.311799311,81.16537677687762,Peaty Soil,185.13454629,1.2899592369999997,8.518579363457329,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
22.42943437,0.794453256,205.0280649,5.873306562,70.80821245,56.07798465,74.43336233,1.32627903,76.81061267920273,Peaty Soil,201.31955943,0.6266934380000002,9.141026987922212,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
26.95099634,0.227436131,214.2175393,7.343770509,72.83604415,94.66894646,111.0201753,3.241983684,92.22269923226594,Loamy Soil,278.52516591,0.3437705089999996,7.948408904722518,rice,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
23.0410202,0.788964715,247.9416711,7.764561161,78.78783369,73.86528901,80.5394512,0.964841672,80.91124663490557,Peaty Soil,233.19257389999999,0.7645611609999996,10.760880766034832,rice,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
28.90937072,0.730683008,275.7220752,6.415572776,85.63783126,57.47848724,82.6267073,1.212212806,94.70884069514128,Peaty Soil,225.7430258,0.08442722399999969,9.537463747325733,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
21.72109168,0.822433241,253.4967768,6.281396322,75.10984591,52.21525642,72.52489663,1.290020511,91.8112061076654,Peaty Soil,199.84999896,0.21860367800000002,11.670535741691598,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
24.21525696,0.862345601,210.928948,5.881422125,69.57158895,52.91837936,73.13839352,1.096947542,83.29175522613629,Peaty Soil,195.62836183000002,0.6185778749999997,8.71058062065677,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
20.83534175,0.715710157,240.3724713,5.698441951,77.8438198,53.24516495,67.16006188,2.022390354,92.91761429223948,Peaty Soil,198.24904663,0.8015580489999996,11.536766431968891,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
23.09774659,0.699117764,204.4527786,6.419031428,72.00320985,62.41039845,79.0840353,0.804274456,75.18270170972988,Acidic Soil,213.4976436,0.08096857199999974,8.851633115089951,rice,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
21.78423135,0.699495631,211.5462632,5.968394347,74.92145204,68.78731197,83.66387919,0.655355524,80.6882643560065,Acidic Soil,227.37264320000003,0.5316056529999997,9.710981296569823,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
19.39265761,0.737093947,277.7240114,5.137542294,73.9239385,33.85300851,62.9417338,0.585721483,90.54827066074373,Acidic Soil,170.71868081000002,1.3624577059999998,14.321090847125001,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.86148471,0.70018875,242.7816377,6.307148296,77.08362761,60.36067991,66.6326951,2.294898172,88.88007451257181,Peaty Soil,204.07700262,0.19285170399999974,9.387768738819636,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
27.08504673,0.807650587,179.354653,6.073200145,74.74132311,54.06167082,66.36989532,1.701167527,80.9379937500039,Peaty Soil,195.17288925000003,0.4267998549999996,6.62190672173893,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
24.24847304,0.972361206,279.0923892,5.750526288,83.37843297,34.75719429,77.25424078,2.448811918,81.09867176550026,Peaty Soil,195.38986804,0.7494737120000003,11.50968923855999,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
23.81653978,0.863970232,281.0998891,5.41289108,81.82179263,51.13576255,54.02009578,1.314744902,91.29219008553142,Peaty Soil,186.97765096,1.0871089200000004,11.802717426485872,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
18.23578016,0.73788303,299.8437231,7.567767907,77.37652683,88.94464272,138.6079073,2.04403402,83.3096158998958,Loamy Soil,304.92907685,0.5677679070000003,16.4426046195547,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
23.39116419,0.80885321,306.0816006,3.908612908,35.52771842,47.95614952,66.91950251,1.560150413,76.1854272381606,Peaty Soil,150.40337045,2.591387092,13.085351293923775,rice,Urea,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
23.60210069,0.836306285,242.5874999,6.412835341,78.24082084,68.66189922,97.55028942,1.439775929,77.63976761246282,Peaty Soil,244.45300948,0.08716465899999992,10.27821646412949,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
26.3289403,0.702364035,198.7496367,5.447584728,74.55843735,53.29060044,56.79927347,1.165811263,83.09803289971511,Peaty Soil,184.64831126,1.0524152720000002,7.548713865251918,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
26.26180918,0.74336721,189.240396,8.82843282,73.31716161,154.4507577,149.3244371,1.58752619,90.04338753835115,Loamy Soil,377.09235641,1.8284328199999997,7.205916191947596,rice,Gypsum,"Corrects alkaline soil, adds calcium and sulfur. Prefer this to lower soil pH and enhance soil structure."
22.88839731,0.753303149,289.2416692,6.590039785,84.21767286,58.7762452,95.97033829,1.661811664,76.69917927636455,Peaty Soil,238.96425635,0.0,12.637043357930072,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
29.10656063,0.859421061,256.9871801,7.128379209,81.64232263,123.2436919,148.2851494,1.731956618,89.63405516236114,Loamy Soil,353.17116393000003,0.12837920900000022,8.829184023725718,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
24.97049232,0.760361661,199.1083221,6.000470592,70.15535124,57.23990996,71.39485987,1.656949361,78.75581783130839,Peaty Soil,198.79012107,0.4995294079999999,7.97374435186947,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
28.89723936,0.925019853,194.8523742,5.350071768,73.95370944,43.32984277,53.19707355,3.241983684,92.09443881855996,Peaty Soil,170.48062576,1.1499282319999997,6.742940796957845,rice,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
